






Adult Walker Walking aid with four wheels handbrakes and seat,"PHP 3,999",entropymarketing,New
Electric Mobility Scooter Can Be Disassembled to fit trunk,"PHP 49,500",grandpamobility,New
Portable Oxygen Concentrator 5 liters,"PHP 29,000",medicalhub,New
Solax Transformer Automatic Folding Lightweight Mobility Scooter Black,"PHP 170,000",medicalhub,New
Cash Register Tray 5-grid,PHP 700,magicgerry,New
High Quality Hospital Bed and Accessories,"PHP 17,500",olxph_486525002,New
Transformer Automatic Folding Lightweight Mobility Scooter Blue,"PHP 170,000",medicalhub,New
Cash Register Tray 4-grid,PHP 600,magicgerry,New
C T M mobility scooter HS 115,"PHP 55,000",lyzagayle,Used
Nebulizer Classic Blue 2016 USA Standard,PHP 950,medicalhub,New
Mobility Scooter with Service Center Parts and Warranty (Brand New),"PHP 49,500",grandpamobility,New
mobility scooter,"PHP 37,999",olxph_342268791,Used
CTM Mobility Electric Scooter 3 wheels Taiwan,"PHP 44,000",medicalhub,Used
Heavy Duty Quality 3 Crank Hospital Bed,"PHP 27,500",olxph_486525002,New
CTM Mobility Electric Scooter 4 wheels Taiwan,"PHP 55,000",medicalhub,New
APAP Auto CPAP machine German Quality,"PHP 47,000",medicalhub,New
Omron nebulizer,"PHP 1,200",olxph_247078387,Used
Hospital Bed (Electric),"PHP 50,000",chezvales,Used
Smart pocket wifi.,PHP 300,romeo58,Used
2nd Hand Nebulizer,"PHP 2,000",olxph_871009073,Used
Glucometer GlucoLeader Germany 2018,PHP 750,medicalhub,New
Convex Mirror Traffic Cone Safety Floor Sign Danger Men At Work Caution Wet Floor,"PHP 1,500",josamko,New
Medical Oxygen Tank,"PHP 4,000",maecalaor,Used
Convex Mirror Safety Mirror All Sizes Available,"PHP 1,500",josamko,New
PulmoNeb Compact Compressor Portable Nebulizer System,"PHP 2,800",jlopez75,Used
geekvape karma kit vape,"PHP 1,000",giov32ph,New
LCD inspection Camera/Monitor System,"PHP 22,280",mymelko.jtorres,New
